CodigoSucursal,CodigoFuerza,CodigoModoAtencion,CodigoRuta,CodigoCliente,FechaDesde,FechaHasta
1,1,PRE,110,3028,2001/01/01,31/12/8999
1,1,PRE,110,3048,2001/01/01,31/12/8999
1,1,PRE,95,3071,2001/01/01,31/12/8999
1,1,PRE,113,3085,2001/01/01,31/12/8999
1,1,PRE,111,3091,2001/01/01,31/12/8999
1,1,PRE,73,3109,2001/01/01,31/12/8999
1,1,PRE,111,3119,2001/01/01,31/12/8999
1,1,PRE,107,3134,2001/01/01,31/12/8999
1,1,PRE,107,3150,2001/01/01,31/12/8999
1,1,PRE,110,3160,2001/01/01,31/12/8999
1,1,PRE,102,3164,2001/01/01,31/12/8999
1,1,PRE,73,3176,2001/01/01,31/12/8999
1,1,PRE,110,3188,2001/01/01,31/12/8999
1,1,PRE,119,3191,2001/01/01,31/12/8999
1,1,PRE,111,3207,2001/01/01,31/12/8999
1,1,PRE,28,3217,2001/01/01,31/12/8999
1,1,PRE,28,3262,2001/01/01,31/12/8999
1,1,PRE,110,3266,2001/01/01,31/12/8999
1,1,PRE,28,3271,2001/01/01,31/12/8999
1,1,PRE,110,3278,2001/01/01,31/12/8999
1,1,PRE,107,3340,2001/01/01,31/12/8999
1,1,PRE,107,3345,2001/01/01,31/12/8999
1,1,PRE,90,3377,2001/01/01,31/12/8999
1,1,PRE,118,3380,2001/01/01,31/12/8999
1,1,PRE,102,3387,2001/01/01,31/12/8999
1,1,PRE,73,3391,2001/01/01,31/12/8999
1,1,PRE,95,3399,2001/01/01,31/12/8999
1,1,PRE,95,3402,2001/01/01,31/12/8999
1,1,PRE,102,3424,2001/01/01,31/12/8999
1,1,PRE,102,3462,2001/01/01,31/12/8999
1,1,PRE,90,3467,2001/01/01,31/12/8999
1,1,PRE,90,3497,2001/01/01,31/12/8999
1,1,PRE,119,3502,2001/01/01,31/12/8999
1,1,PRE,102,3589,2001/01/01,31/12/8999
1,1,PRE,73,3608,2001/01/01,31/12/8999
1,1,PRE,87,3637,2001/01/01,31/12/8999
1,1,PRE,102,3662,2001/01/01,31/12/8999
1,1,PRE,87,3664,2001/01/01,31/12/8999
1,1,PRE,118,3674,2001/01/01,31/12/8999
1,1,PRE,95,3705,2001/01/01,31/12/8999
1,1,PRE,100,3735,2001/01/01,31/12/8999
1,1,PRE,117,3741,2001/01/01,31/12/8999
1,1,PRE,96,3762,2001/01/01,31/12/8999
1,1,PRE,110,3772,2001/01/01,31/12/8999
1,1,PRE,91,3811,2001/01/01,31/12/8999
1,1,PRE,120,3821,2001/01/01,31/12/8999
1,1,PRE,94,3822,2001/01/01,31/12/8999
1,1,PRE,107,3832,2001/01/01,31/12/8999
1,1,PRE,110,3861,2001/01/01,31/12/8999
1,1,PRE,105,3927,2001/01/01,31/12/8999
1,1,PRE,105,3931,2001/01/01,31/12/8999
1,1,PRE,94,3940,2001/01/01,31/12/8999
1,1,PRE,105,3942,2001/01/01,31/12/8999
1,1,PRE,87,3963,2001/01/01,31/12/8999
1,1,PRE,113,3980,2001/01/01,31/12/8999
1,1,PRE,110,3989,2001/01/01,31/12/8999
1,1,PRE,73,3995,2001/01/01,31/12/8999
1,1,PRE,73,4002,2001/01/01,31/12/8999
1,1,PRE,110,4018,2001/01/01,31/12/8999
1,1,PRE,107,4039,2001/01/01,31/12/8999
1,1,PRE,107,4073,2001/01/01,31/12/8999
1,1,PRE,110,4077,2001/01/01,31/12/8999
1,1,PRE,107,4192,2001/01/01,31/12/8999
1,1,PRE,28,4249,2001/01/01,31/12/8999
1,1,PRE,43,4293,2001/01/01,31/12/8999
1,1,PRE,107,4298,2001/01/01,31/12/8999
1,1,PRE,73,4321,2001/01/01,31/12/8999
1,1,PRE,110,4337,2001/01/01,31/12/8999
1,1,PRE,118,4355,2001/01/01,31/12/8999
1,1,PRE,118,4391,2001/01/01,31/12/8999
1,1,PRE,95,4394,2001/01/01,31/12/8999
1,1,PRE,91,4396,2001/01/01,31/12/8999
1,1,PRE,87,4397,2001/01/01,31/12/8999
1,1,PRE,43,4399,2001/01/01,31/12/8999
1,1,PRE,119,4401,2001/01/01,31/12/8999
1,1,PRE,102,4407,2001/01/01,31/12/8999
1,1,PRE,119,4413,2001/01/01,31/12/8999
1,1,PRE,118,4424,2001/01/01,31/12/8999
1,1,PRE,120,4506,2001/01/01,31/12/8999
1,1,PRE,91,4520,2001/01/01,31/12/8999
1,1,PRE,100,4523,2001/01/01,31/12/8999
1,1,PRE,88,4526,2001/01/01,31/12/8999
1,1,PRE,100,4535,2001/01/01,31/12/8999
1,1,PRE,100,4545,2001/01/01,31/12/8999
1,1,PRE,100,4577,2001/01/01,31/12/8999
1,1,PRE,100,4693,2001/01/01,31/12/8999
1,1,PRE,88,4783,2001/01/01,31/12/8999
1,1,PRE,88,4787,2001/01/01,31/12/8999
1,1,PRE,100,5031,2001/01/01,31/12/8999
1,1,PRE,100,5032,2001/01/01,31/12/8999
1,1,PRE,95,5054,2001/01/01,31/12/8999
1,1,PRE,88,5238,2001/01/01,31/12/8999
1,1,PRE,118,5433,2001/01/01,31/12/8999
1,1,PRE,120,5654,2001/01/01,31/12/8999
1,1,PRE,110,5703,2001/01/01,31/12/8999
1,1,PRE,105,5754,2001/01/01,31/12/8999
1,1,PRE,102,5828,2001/01/01,31/12/8999
1,1,PRE,96,5843,2001/01/01,31/12/8999
1,1,PRE,102,5845,2001/01/01,31/12/8999
1,1,PRE,100,5863,2001/01/01,31/12/8999
1,1,PRE,90,5875,2001/01/01,31/12/8999
1,1,PRE,118,5891,2001/01/01,31/12/8999
1,1,PRE,88,5896,2001/01/01,31/12/8999
1,1,PRE,113,5904,2001/01/01,31/12/8999
1,1,PRE,100,5928,2001/01/01,31/12/8999
1,1,PRE,119,5953,2001/01/01,31/12/8999
1,1,PRE,73,5965,2001/01/01,31/12/8999
1,1,PRE,107,5974,2001/01/01,31/12/8999
1,1,PRE,120,5981,2001/01/01,31/12/8999
1,1,PRE,111,5988,2001/01/01,31/12/8999
1,1,PRE,28,6009,2001/01/01,31/12/8999
1,1,PRE,118,6014,2001/01/01,31/12/8999
1,1,PRE,88,6020,2001/01/01,31/12/8999
1,1,PRE,87,6028,2001/01/01,31/12/8999
1,1,PRE,88,6031,2001/01/01,31/12/8999
1,1,PRE,111,6040,2001/01/01,31/12/8999
1,1,PRE,91,6057,2001/01/01,31/12/8999
1,1,PRE,90,6088,2001/01/01,31/12/8999
1,1,PRE,91,6095,2001/01/01,31/12/8999
